time,mat0_x1,mat0_x2,mat0_y1,mat0_y2,mat1_x1,mat1_x2,mat1_y1,mat1_y2,mat2_x1,mat2_x2,mat2_y1,mat2_y2,mat3_x1,mat3_x2,mat3_y1,mat3_y2,hopf0_x,hopf0_y,hopf1_x,hopf1_y
0.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.09595345175425633,0.10600654824574368,0.09595345175425633,0.10600654824574368
0.01,0.0388,0.0388,0.0388,0.0388,0.0388,0.0388,0.0388,0.0388,0.0388,0.0388,0.0388,0.0388,0.0388,0.0388,0.0388,0.0388,0.09156489882206581,0.11186808781496715,0.09156489882206581,0.11186808781496715
0.02,0.056462,0.056462,0.056462,0.056462,0.056462,0.056462,0.056462,0.056462,0.056462,0.056462,0.056462,0.056462,0.056462,0.056462,0.056462,0.056462,0.08683830862294376,0.11756594364463414,0.08683830862294376,0.11756594364463414
0.03,0.07304498,0.07304498,0.07304498,0.07304498,0.07304498,0.07304498,0.07304498,0.07304498,0.07304498,0.07304498,0.07304498,0.07304498,0.07304498,0.07304498,0.07304498,0.07304498,0.08177863187349729,0.12308145736702947,0.08177863187349729,0.12308145736702947
0.04,0.0886050432,0.0886050432,0.0886050432,0.0886050432,0.0886050432,0.0886050432,0.0886050432,0.0886050432,0.0886050432,0.0886050432,0.0886050432,0.0886050432,0.0886050432,0.0886050432,0.0886050432,0.0886050432,0.076391811528188,0.12839603728742843,0.076391811528188,0.12839603728742843
0.05,0.103195552498,0.103195552498,0.103195552498,0.103195552498,0.103195552498,0.103195552498,0.103195552498,0.103195552498,0.103195552498,0.103195552498,0.103195552498,0.103195552498,0.103195552498,0.103195552498,0.103195552498,0.103195552498,0.07068478927540123,0.13349120932047426,0.07068478927540123,0.13349120932047426
0.06,0.11686726059762,0.11686726059762,0.11686726059762,0.11686726059762,0.11686726059762,0.11686726059762,0.11686726059762,0.11686726059762,0.11686726059762,0.11686726059762,0.11686726059762,0.11686726059762,0.11686726059762,0.11686726059762,0.11686726059762,0.11686726059762,0.0646655095149734,0.13834866877110705,0.0646655095149734,0.13834866877110705
0.07,0.1296684340225188,0.1296684340225188,0.1296684340225188,0.1296684340225188,0.1296684340225188,0.1296684340225188,0.1296684340225188,0.1296684340225188,0.1296684340225188,0.1296684340225188,0.1296684340225188,0.1296684340225188,0.1296684340225188,0.1296684340225188,0.1296684340225188,0.1296684340225188,0.05834292074833443,0.14295033284094047,0.05834292074833443,0.14295033284094047
0.08,0.1416449713210173,0.1416449713210173,0.1416449713210173,0.1416449713210173,0.1416449713210173,0.1416449713210173,0.1416449713210173,0.1416449713210173,0.1416449713210173,0.1416449713210173,0.1416449713210173,0.1416449713210173,0.1416449713210173,0.1416449713210173,0.1416449713210173,0.1416449713210173,0.051726974317733425,0.14727839373623608,0.051726974317733425,0.14727839373623608
0.09,0.15284051573119614,0.15284051573119614,0.15284051573119614,0.15284051573119614,0.15284051573119614,0.15284051573119614,0.15284051573119614,0.15284051573119614,0.15284051573119614,0.15284051573119614,0.15284051573119614,0.15284051573119614,0.15284051573119614,0.15284051573119614,0.15284051573119614,0.15284051573119614,0.04482862043662297,0.15131537224909394,0.04482862043662297,0.15131537224909394
