checkpoint,timestep,mean_reward,std_reward,mean_length
ppo_origaker_100000_steps.pth,100000,-341059.24679440836,5.820766091346741e-11,2000.0
ppo_origaker_200000_steps.pth,200000,-201222.97602181922,0.0,2000.0
ppo_origaker_300000_steps.pth,300000,-153503.20010262166,0.0,2000.0
ppo_origaker_400000_steps.pth,400000,-142043.97481761425,0.0,2000.0
ppo_origaker_500000_steps.pth,500000,-123640.52901455115,1.4551915228366852e-11,2000.0
ppo_origaker_600000_steps.pth,600000,-99569.82748482827,1.4551915228366852e-11,2000.0
ppo_origaker_700000_steps.pth,700000,-125987.67612895563,1.4551915228366852e-11,2000.0
ppo_origaker_800000_steps.pth,800000,-111189.02644683802,1.4551915228366852e-11,2000.0
ppo_origaker_900000_steps.pth,900000,-148314.77290280786,0.0,2000.0
ppo_origaker_1000000_steps.pth,1000000,-107413.73265974686,1.4551915228366852e-11,2000.0
ppo_origaker_final.pth,1000000,-107413.73265974686,1.4551915228366852e-11,2000.0
